Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
Solo Daños,sábado,CHAPINERO,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,PUENTE ARANDA,Choque,Vehículo,,,SI,,,SI,,,,,,,,,,,,,,,,
Con Heridos,viernes,BOSA,Choque,Vehículo,,,,,,SI,,,,SI,,,,,,,,,,,,SI
Solo Daños,miércoles,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,jueves,KENNEDY,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,miércoles,CIUDAD BOLÍVAR,Choque,Vehículo,,,,SI,,SI,,,,,,,,,,,,,,,,
Solo Daños,lunes,CHAPINERO,Choque,Vehículo,,SI,,,,,,SI,,,,,,,,,,,,,,
Solo Daños,miércoles,TEUSAQUILLO,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,miércoles,BOSA,Atropello,,,,,,,,SI,SI,,,SI,,SI,,SI,,,,,,,
Solo Daños,viernes,SUBA,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,sábado,KENNEDY,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,lunes,KENNEDY,Atropello,,,,,,,,SI,SI,,,SI,,,,,,,,,,,
Con Heridos,martes,SUBA,Choque,Vehículo,SI,,,,,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,viernes,SUBA,Choque,Objeto Fijo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,jueves,ENGATIVÁ,Atropello,,,,,,,,SI,,,,SI,,SI,SI,,,,SI,,,,
