Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi,Severidad_Num,Accidente_Grave,Total_Factores_Riesgo,Es_Fin_de_Semana,Dia_Semana_Acc_Enc,Localidad_Enc,Clase_Acc_Enc,Elemento_Choque_Enc
Solo Daños,domingo,BARRIOS UNIDOS,Choque,Objeto Fijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1
Con Heridos,martes,SAN CRISTÓBAL,Choque,Vehículo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,12,2,4
Con Heridos,lunes,FONTIBÓN,Choque,Vehículo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,7,2,4
Con Heridos,sábado,TEUSAQUILLO,Choque,Vehículo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,16,2,4
Solo Daños,miércoles,TEUSAQUILLO,Choque,Vehículo,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,16,2,4
Solo Daños,viernes,SUBA,Choque,Vehículo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,14,2,4
Con Heridos,lunes,USME,Atropello,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,2,19,0,0
Con Heridos,lunes,KENNEDY,Atropello,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,8,0,0
Con Heridos,lunes,USAQUÉN,Choque,Vehículo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,18,2,4
Solo Daños,miércoles,USAQUÉN,Choque,Vehículo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,18,2,4
Con Heridos,lunes,SUBA,Choque,Vehículo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,14,2,4
Solo Daños,sábado,ENGATIVÁ,Choque,Vehículo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,6,2,4
Con Heridos,sábado,CHAPINERO,Atropello,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,4,0,0
Solo Daños,viernes,TEUSAQUILLO,Choque,Objeto Fijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,2,1
Con Heridos,viernes,FONTIBÓN,Choque,Vehículo,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,7,2,4
Con Heridos,martes,ENGATIVÁ,Atropello,,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,3,6,0,0
Solo Daños,lunes,PUENTE ARANDA,Choque,Vehículo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,10,2,4
Solo Daños,viernes,PUENTE ARANDA,Choque,Vehículo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,10,2,4
Solo Daños,martes,TEUSAQUILLO,Choque,Vehículo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,4
Con Heridos,sábado,SUBA,Choque,Vehículo,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,14,2,4
Solo Daños,martes,USAQUÉN,Atropello,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,18,0,0
Solo Daños,sábado,CHAPINERO,Choque,Vehículo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,2,4
Con Heridos,sábado,PUENTE ARANDA,Choque,Vehículo,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,10,2,4
Con Heridos,viernes,BOSA,Choque,Vehículo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,6,2,2,4
Solo Daños,miércoles,ENGATIVÁ,Choque,Vehículo,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,4,6,2,4
Con Heridos,jueves,KENNEDY,Choque,Vehículo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,8,2,4
Con Heridos,miércoles,CIUDAD BOLÍVAR,Choque,Vehículo,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,5,2,4
Solo Daños,lunes,CHAPINERO,Choque,Vehículo,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,4
Solo Daños,miércoles,TEUSAQUILLO,Choque,Vehículo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,2,4
Con Heridos,miércoles,BOSA,Atropello,,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,5,0,4,2,0,0
Solo Daños,viernes,SUBA,Choque,Vehículo,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,6,14,2,4
